,regio3,geo_plz,streetPlain,houseNumber,lon,lat
0,Nordend_West,60318.0,Oederweg_,0.0,8.679633,50.1181588
1,Heddernheim,60439.0,Heddernheimer_Landstraße,0.0,8.6371704,50.1628686
2,Innenstadt,60313.0,Große_Bockenheimer_Str.,0.0,8.6735555,50.1148008
3,Dornbusch,60320.0,Marbachweg,277.0,8.68078140600974,50.141185
4,Dornbusch,60320.0,Grillparzerstr.,91.0,8.66495605,50.1444322
5,Ostend,60314.0,,,0.0,0.0
6,Bergen_Enkheim,60388.0,,,0.0,0.0
7,Riedberg,60438.0,,,0.0,0.0
8,Bonames,60433.0,,,0.0,0.0
9,Eschersheim,60433.0,,,0.0,0.0
10,Sachsenhausen_Nord,60594.0,,,0.0,0.0
11,Westend_Süd,60325.0,,,0.0,0.0
12,Höchst,65929.0,Kasinostraße,35.0,8.548132549999991,50.1024542
13,Dornbusch,60320.0,,,0.0,0.0
14,Riedberg,60438.0,Arthur-von-Weinberg-Straße,10.0,8.624375244813223,50.17716045
15,Nordend_Ost,60316.0,Baumweg,42.0,8.693784057212003,50.11930415
16,Nordend_Ost,60385.0,Petterweilstraße,31.0,0.0,0.0
17,Westend_Süd,60323.0,,,0.0,0.0
18,Gallusviertel,60326.0,Kriegkstr._,0.0,8.6388791,50.1042531
19,Sachsenhausen_Nord,60385.0,,,0.0,0.0
20,Ostend,60314.0,Schichaustraße,3.0,8.702794750000002,50.11176525
21,Nieder_Eschbach,60437.0,,,0.0,0.0
22,Bockenheim,60486.0,Römischer_Ring_,0.0,0.0,0.0
23,Sachsenhausen_Nord,60596.0,,,0.0,0.0
24,Riedberg,60437.0,,,0.0,0.0
25,Altstadt,60313.0,,,0.0,0.0
26,Sachsenhausen_Süd,60598.0,Ossietzkystraße,6.0,8.687581103440777,50.0980951
27,Rödelheim,60489.0,Wehrhofstr._,0.0,8.6143655,50.1247023
28,Bockenheim,60486.0,,,0.0,0.0
29,Bockenheim,60487.0,,,0.0,0.0
30,Nordend_West,60318.0,,,0.0,0.0
31,Nordend_West,60318.0,Jahnstr._,0.0,8.6825386,50.1204806
32,Riedberg,60438.0,,,0.0,0.0
33,Harheim,60437.0,Merzenstr.,5.0,8.696299699999996,50.185912099999996
34,Westend_Süd,60325.0,,,0.0,0.0
35,Gutleutviertel,60329.0,,,0.0,0.0
36,Bockenheim,60486.0,Am_Römerhof,51.0,8.627460264149569,50.11311135
37,Gallusviertel,60326.0,Krifteler_Straße,15.0,8.633600838418172,50.0997325
38,Niederrad,60528.0,Hahnstraße,26.0,8.632781338778438,50.08380355
39,Riedberg,60438.0,Renoirallee,4.0,8.64227515,50.1761514
40,Höchst,65929.0,Kasinostraße,31.0,8.548487350037068,50.1025957
41,Bockenheim,60486.0,,,0.0,0.0
42,Nordend_Ost,60389.0,Walter-Hesselbach-Straße,54.0,0.0,0.0
43,Bahnhofsviertel,60311.0,,,0.0,0.0
44,Gallusviertel,60326.0,Niedernhausener_Straße,33.0,8.635613309716279,50.107291599999996
45,Hausen,60488.0,,,0.0,0.0
46,Niederrad,60528.0,Lyonerstr.,19.0,8.624485471556243,50.081535450000004
47,Altstadt,60311.0,,,0.0,0.0
48,Griesheim,65933.0,An_der_Zingelswiese,40.0,8.5920760509579,50.1041629
49,Sossenheim,65936.0,Alpenroder_Straße,2.0,8.563326149957078,50.12150345
50,Gallusviertel,60326.0,Lahnstrasse,61.0,8.632896759807293,50.1007205
51,Gallusviertel,60486.0,Europa-Allee,165.0,8.6239347,50.1073374
52,Riedberg,60438.0,,,0.0,0.0
53,Sachsenhausen_Süd,60598.0,Mörfelder_Landstr._,0.0,8.6711062,50.0895774
54,Rödelheim,60489.0,Thudichumstraße,,0.0,0.0
55,Nied,65934.0,,,0.0,0.0
56,Nordend_West,60322.0,,,0.0,0.0
57,Ostend,60316.0,,,0.0,0.0
58,Sachsenhausen_Nord,60598.0,Mörfelder_Landstraße,0.0,8.6711062,50.0895774
59,Niederrad,60528.0,Hahnstraße,26.0,8.632781338778438,50.08380355
60,Preungesheim,60435.0,Am_Borsforder,68.0,0.0,0.0
61,Sachsenhausen_Süd,60599.0,Max-Beckmann-Strasse,33.0,8.694408715265869,50.08623095
62,Altstadt,60311.0,,,0.0,0.0
63,Altstadt,60313.0,Carl-Theodor-Reiffenstein-Platz,6.0,0.0,0.0
64,Nordend_West,60318.0,Kleiststraße,32.0,8.692752140624911,50.13187670000001
65,Heddernheim,60439.0,Olof-Palme-Straße_31,617.0,8.6452953,50.1652118
66,Höchst,65929.0,Königsteiner_Str.,6.0,8.54927275,50.10125275
67,Sachsenhausen_Süd,60599.0,Am_Sandberg,,0.0,0.0
68,Ginnheim,60431.0,,,0.0,0.0
69,Bahnhofsviertel,60329.0,Gutleutstraße,42.0,8.667526226659959,50.1056131
70,Niederrad,60528.0,Herbert-Boehm-Straße,11.0,8.643078091469787,50.08163935
